Player,ECO
clubchessmaster1,A06W
PierrotDeCastelnau,A06B
clubchessmaster1,A06W
Elda64,A06B
vvchessli,D00W
Glidzhian_Gor,D00B
clubchessmaster1,A06W
KreuzritterImZoo,A06B
vvchessli,D00W
vvchessli,A00W
Barneo00,A00B
Matanzas67,A00B
rasulovvugar,A00W
Goldbart,A48W
Napo18,A48B
andreas_heimann,A00B
vvchessli,A00W
lestri,A00B
clubchessmaster1,A04W
PierrotDeCastelnau,A04B
Jasugi99,A01W
Saparmyrat,A01B
BMWHero,A06W
BMWHero,A01W
MahammadMuradli2003,A01B
Fandorine96,A01B
clubchessmaster1,A01W
KreuzritterImZoo,A01B
BMWHero,A01W
ALEKSANDROV73,A01B
LittlePumpkin,A03B
BlueGreensun,A01B
BMWHero,A49W
lestri,A01B
Dr-CRO,A01B
PierrotDeCastelnau,A01W
akitalover,A01B
Aronyak1,A10W
fireanigirl,A10B
js20000,A13W
Haydon,A13B
econpower,A11W
js20000,A11B
lestri,A10W
js20000,A30W
pascalka0409,A34B
rasulovvugar,D34B
Jirkar,A25W
Jirkar,A20W
lestri,A21W
js20000,A29B
cutemouse83,A25W
Lunaticxxx,A25B
cutemouse83,D54W
Lunaticxxx,D54B
"Nguyen, Duc Hoa",A13B
Hawkeye_A,A11B
TheRedKing89,A16B
Creep30,E27W
dont_blunder,E27B
Zubrrr,E05W
Creep30,A11W
dont_blunder,A11B
lestri,A18W
Amadeus69,A18B
lestri,A18W
KreuzritterImZoo,A18B
ARM-777777,A43W
DrMelekess,A43W
Dr-CRO,A43B
rasulovvugar,A43W
BMWHero,A43B
Alexandr_KhleBovich,A57W
BMWHero,A43B
ARM-777777,A40W
andreas_heimann,D02W
papasi,A43W
Dr-CRO,A43B
DrMelekess,A40W
Jasugi99,A40B
YoungAngus,A40B
paleraven,A40W
YoungAngus,A40B
BlueGreensun,A40B
fireanigirl,A43B
Dr-CRO,D00W
yoseph2013,D00B
Dr-CRO,D00W
FakeBruceLee,D00B
Hawkeye_A,D00W
fireanigirl,D00B
Barneo00,D00W
EddieMarsalla,D00W
JosephJess,D00B
Hawkeye_A,D00W
fireanigirl,D00B
rasulovvugar,D00W
FakeBruceLee,D00B
sopueyz,D00B
Barneo00,D00W
Dr-CRO,D00W
FakeBruceLee,D00B
sutulaja_sobaka,D06W
EddieMarsalla,D06B
papasi,D85W
Saparmyrat,D85B
mutdpro,D10B
dont_blunder,D10W
Creep30,D10B
papasi,D10W
Barry_Lindon,D10B
gidropark,D10W
gidropark,D46W
Crest64,D90W
david_gomez,D15W
bernadskiyvitaliy,D52W
rasulovvugar,D52B
PlemSovhoz,D20W
FakeBruceLee,D20B
bernadskiyvitaliy,D26W
FakeBruceLee,D26B
paleraven,D33W
SilentAndCalm,D37W
SuperConfinado,D37B
drawingchest,D31B
SuperConfinado,D31B
SilentAndCalm,D37W
SuperConfinado,D37B
Vagerhook,D31W
Vagerhook,D31W
Vagerhook,D45W
"Nguyen, Duc Hoa",D45B
PlemSovhoz,D31W
LittlePumpkin,D36W
JosephJess,D36B
malyy,D30W
IlSalvatore,D44W
Federtiu,D44B
Carobee,D30B
SilentAndCalm,D35W
SuperConfinado,D35B
mutdpro,D02W
ARM-777777,D02B
theemperador,D05W
Matanzas67,D02W
samisahi,D02W
theemperador,D05W
gogotaniye,D41W
outoftheblu,D41B
theemperador,D05W
Arystanner23,D05B
theemperador,D05W
yoseph2013,D02W
Elda64,D02B
Elda64,D01W
yoseph2013,D01B
DrMelekess,E14W
clubchessmaster1,E14B
msb2,D05W
malyy,D05B
david_gomez,D04W
FakeBruceLee,D26B
KNCP_719,D36B
ARM-777777,D13W
mutdpro,D13B
lestri,C41B
LittlePumpkin,A41W
Jirkar,A41B
yoseph2013,B06W
MahammadMuradli2003,B06B
dylanriver,A48W
Macrofago,A48B
david_gomez,A65W
Haydon,E16B
MrBochwalt,A88W
Faceless_Trickster,A88B
mutdpro,A48W
Fandorine96,A48B
yoseph2013,A40W
ARM-777777,B08W
Fandorine96,B08B
OUT-knock123,B06W
FallacyofComposition,B06B
mutdpro,A48W
Fandorine96,A48B
funny_chess,B06B
outoftheblu,A42W
Matanzas67,A42B
paleraven,A42W
Macrofago,A45B
Barneo00,D00W
vvchessli,D00B
StasBabarykin,A45W
js20000,A45B
Macrofago,A45B
StasBabarykin,A45W
ChessExplained,A45B
Hawkeye_A,C11W
yoseph2013,D00W
ALEKSANDROV73,D00B
js20000,A45B
Vagerhook,D00B
ElAsesinoFavorito,D00W
BlueGreensun,D00B
KreuzritterImZoo,A45W
js20000,A45B
GingerGM,A45W
"Nguyen, Duc Hoa",A45B
papasi,A52W
Saparmyrat,A52B
NoFastDraw,E91B
malyy,A57W
andreas_heimann,A57B
samovich,A59W
"Nguyen, Duc Hoa",E04W
BMWHero,E00B
bernadskiyvitaliy,E05W
ALEKSANDROV73,A61W
Vagerhook,E90W
Niper13,E90B
MrBochwalt,D38W
Faceless_Trickster,D38B
Vagerhook,E20W
Niper13,E20B
SargisSargsyan,E22B
rasulovvugar,E20B
GreenNight,E46W
bernadskiyvitaliy,E46B
papasi,E32W
outoftheblu,E36W
gogotaniye,E36B
gidropark,D41W
gidropark,D35W
paleraven,D36W
SouthAfricanWolf,D36B
afgano45,E16W
Sailor1951,E16B
sutulaja_sobaka,E18W
DarmenS,E18B
ikica77,E16W
Violet_Pride,E16B
rasulovvugar,E05W
BMWHero,E05B
ARM-777777,D53B
UnknownSuperGM,D41B
sutulaja_sobaka,D43W
UnknownSuperGM,D41B
UnknownSuperGM,D41B
akitalover,D70W
bernadskiyvitaliy,D91W
BlueGreensun,E62B
ALEKSANDROV73,E71W
bernadskiyvitaliy,E71B
ALEKSANDROV73,E71W
david_gomez,E91W
Vagerhook,E91B
yoseph2013,E71W
PierrotDeCastelnau,E71B
gidropark,E94W
MrBochwalt,E94W
ALEKSANDROV73,D94W
EltajSafarli,D94B
dont_blunder,D83W
Creep30,D83B
"Nguyen, Duc Hoa",D80B
donateIIo,D80B
sutulaja_sobaka,D90W
Alexandr_KhleBovich,D90B
sutulaja_sobaka,D90W
Alexandr_KhleBovich,D90B
sutulaja_sobaka,D90W
Alexandr_KhleBovich,D90B
sutulaja_sobaka,D90W
Alexandr_KhleBovich,D90B
sutulaja_sobaka,D90W
Alexandr_KhleBovich,D90B
sutulaja_sobaka,D90W
Alexandr_KhleBovich,D90B
Lunaticxxx,D85W
cutemouse83,D85B
Alexandr_KhleBovich,D85B
Lunaticxxx,D85W
cutemouse83,D85B
ARM-777777,B08W
theemperador,A46W
Macrofago,A46B
theemperador,A46W
Macrofago,A46B
MahammadMuradli2003,A43B
Alexandr_KhleBovich,A57W
ARM-777777,A43B
ARM-777777,A43W
DrMelekess,B14W
Amadeus69,B14B
yoseph2013,D35W
Amadeus69,D35B
Alexandr_KhleBovich,E04W
sutulaja_sobaka,E04B
Saparmyrat,D41B
Alexandr_KhleBovich,E04W
sutulaja_sobaka,E04B
Lunaticxxx,D37W
cutemouse83,D37B
Creep30,D37B
mutdpro,D02W
ARM-777777,D02B
MrSuccess,A47B
dont_blunder,E17W
Creep30,E17B
Bubacik,A47W
EleKtRoMaGnIt,A47B
Alexandr_KhleBovich,E04W
sutulaja_sobaka,E04B
afgano45,A32W
ElAsesinoFavorito,D37W
RussianBlizzard,D37B
ReddingtonBL,E43W
samisahi,E43B
Queen_Annes_Revenge,A48B
Queen_Annes_Revenge,A48B
yoseph2013,A48W
ARM-777777,D00W
msb2,B08W
bernadskiyvitaliy,A48B
ReddingtonBL,E62W
"Nguyen, Duc Hoa",D77B
Lunaticxxx,D02W
cutemouse83,D02B
samisahi,E67W
YoungAngus,B00B
GreenNight,A00W
rasulovvugar,B00W
andreas_heimann,C47W
GingerGM,B20W
"Nguyen, Duc Hoa",B20B
FakeBruceLee,B22W
rasulovvugar,B22B
Partake,B22W
MahammadMuradli2003,B22B
david_gomez,B22W
Glidzhian_Gor,B21W
RussianBlizzard,B21B
Meysonn,B23W
Barry_Lindon,B23B
seksi_cigra,B45W
gidropark,B45B
samisahi,B23W
ReddingtonBL,B23B
Alexandr_KhleBovich,B23B
JosephJess,B80W
Barneo00,B80B
Haydon,B25W
drawingchest,B25B
Shant7777777,B23B
Rikikits,B23W
EltajSafarli,B23W
BMWHero,B23B
samisahi,B23B
Haydon,B24W
"Nguyen, Duc Hoa",B24B
Rikikits,B24B
rasulovvugar,B27W
hesham-a,B27W
KNCP_719,B27B
JosephJess,B29W
RussianBlizzard,B29B
Gettingold72,B50W
Barry_Lindon,B90W
Niper13,B90B
UnknownSuperGM,B50W
UnknownSuperGM,B50W
Alexandr_KhleBovich,B50B
JosephJess,B52W
Goldbart,B52B
SuperConfinado,B51W
hesham-a,B51B
KNCP_719,B52W
drawingchest,B52B
